date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,18.67,80.04
2022-01-02,0.0,19.57,76.37
2022-01-03,0.0,19.07,70.79
2022-01-04,0.0,19.4,70.96
2022-01-05,0.0,20.04,66.81
2022-01-06,0.0,20.8,68.97
2022-01-07,0.0,20.95,69.05
2022-01-08,5.73,20.37,78.09
2022-01-09,2.31,20.09,78.87
2022-01-10,0.25,18.91,77.69
2022-01-11,0.77,19.01,83.52
2022-01-12,0.01,17.92,73.73
2022-01-13,0.53,17.23,74.48
2022-01-14,1.8,18.82,82.75
2022-01-15,0.61,19.05,77.19
2022-01-16,0.0,18.7,73.81
2022-01-17,0.0,19.41,67.82
2022-01-18,0.0,19.78,67.06
2022-01-19,0.0,19.92,53.36
2022-01-20,0.0,21.21,48.79
2022-01-21,0.0,20.64,58.64
2022-01-22,0.0,21.0,60.55
2022-01-23,0.0,17.96,61.26
2022-01-24,0.0,13.7,50.22
2022-01-25,0.0,13.9,53.2
2022-01-26,0.0,14.64,52.81
2022-01-27,0.0,14.72,52.82
2022-01-28,0.0,15.32,49.08
2022-01-29,0.0,17.3,44.28
2022-01-30,0.0,19.47,37.77
2022-01-31,0.0,20.53,36.18
2022-02-01,0.0,21.4,36.12
2022-02-02,0.0,22.23,39.6
2022-02-03,0.0,20.47,45.92
2022-02-04,0.0,17.95,50.71
2022-02-05,0.0,18.67,36.72
2022-02-06,0.0,18.88,39.49
2022-02-07,0.0,19.83,44.39
2022-02-08,0.0,20.84,49.49
2022-02-09,0.0,20.92,55.9
2022-02-10,0.0,20.14,45.91
2022-02-11,0.0,19.23,39.38
2022-02-12,0.0,19.61,36.54
2022-02-13,0.0,20.22,38.73
2022-02-14,0.0,21.42,39.02
2022-02-15,0.0,22.68,43.94
2022-02-16,0.27,23.34,51.72
2022-02-17,0.02,23.86,50.41
2022-02-18,0.0,24.86,49.31
2022-02-19,0.21,26.01,48.02
2022-02-20,0.0,24.37,34.58
2022-02-21,0.0,23.8,23.71
2022-02-22,0.0,25.31,22.45
2022-02-23,0.0,25.47,28.28
2022-02-24,0.0,26.56,32.19
2022-02-25,0.0,26.65,29.41
2022-02-26,0.0,27.0,35.29
2022-02-27,0.0,26.94,28.93
2022-02-28,0.01,26.64,28.11
2022-03-01,0.2,26.67,29.03
2022-03-02,0.0,26.84,28.31
2022-03-03,0.0,27.45,29.29
2022-03-04,0.04,27.91,30.85
2022-03-05,0.02,27.72,30.45
2022-03-06,0.0,27.55,27.21
2022-03-07,0.01,27.9,27.48
2022-03-08,0.59,27.57,25.03
2022-03-09,1.18,27.29,28.82
2022-03-10,0.06,27.74,32.61
2022-03-11,0.05,28.4,27.83
2022-03-12,0.03,27.71,23.4
2022-03-13,0.0,27.5,17.48
2022-03-14,0.0,28.78,16.33
2022-03-15,0.0,30.55,18.26
2022-03-16,0.0,31.68,16.51
2022-03-17,0.0,31.4,16.79
2022-03-18,0.0,31.09,17.47
2022-03-19,0.0,31.74,19.51
2022-03-20,0.0,30.92,17.35
2022-03-21,0.0,31.11,17.33
2022-03-22,0.0,31.48,14.73
2022-03-23,0.0,31.75,16.54
2022-03-24,0.0,31.95,17.51
2022-03-25,0.0,32.32,19.06
2022-03-26,0.0,32.37,19.12
2022-03-27,0.0,32.37,17.71
2022-03-28,0.0,32.23,16.56
2022-03-29,0.0,31.91,14.72
2022-03-30,0.0,32.03,11.64
2022-03-31,0.0,31.81,12.99
2022-04-01,0.0,31.9,12.76
2022-04-02,0.0,32.4,12.32
2022-04-03,0.0,32.52,12.86
2022-04-04,0.0,33.2,12.02
2022-04-05,0.0,33.44,10.55
2022-04-06,0.0,33.32,13.76
2022-04-07,0.0,34.16,14.19
2022-04-08,0.0,34.84,12.72
2022-04-09,0.0,34.24,14.76
2022-04-10,0.0,33.99,17.16
2022-04-11,0.0,34.01,19.12
2022-04-12,0.0,34.7,19.76
2022-04-13,0.0,33.98,18.75
2022-04-14,0.0,34.1,19.13
2022-04-15,0.0,32.03,16.7
2022-04-16,0.0,32.42,17.04
2022-04-17,0.0,33.07,17.17
2022-04-18,0.0,33.85,16.3
2022-04-19,0.0,34.38,13.74
2022-04-20,0.0,35.36,13.63
2022-04-21,0.0,35.02,17.84
2022-04-22,0.0,34.45,21.31
2022-04-23,0.25,34.78,28.5
2022-04-24,0.04,34.66,25.73
2022-04-25,0.0,34.94,16.41
2022-04-26,0.0,35.1,15.0
2022-04-27,0.0,35.55,15.05
2022-04-28,0.0,36.2,11.99
2022-04-29,0.0,36.31,14.73
2022-04-30,0.0,35.99,17.24
2022-05-01,0.0,35.41,20.96
2022-05-02,0.03,34.69,22.13
2022-05-03,0.0,35.28,24.46
2022-05-04,0.0,35.38,25.83
2022-05-05,0.0,34.93,18.28
