date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,18.81,75.0
2022-01-02,0.0,19.35,71.96
2022-01-03,0.0,19.46,66.32
2022-01-04,0.0,19.64,66.53
2022-01-05,0.0,19.87,66.86
2022-01-06,0.0,20.55,69.36
2022-01-07,0.0,20.52,67.61
2022-01-08,8.64,18.75,84.15
2022-01-09,7.07,19.5,80.37
2022-01-10,0.42,18.98,74.17
2022-01-11,3.16,18.45,84.13
2022-01-12,0.24,17.75,69.75
2022-01-13,0.08,17.76,65.53
2022-01-14,0.92,19.12,79.0
2022-01-15,0.43,19.03,74.1
2022-01-16,0.0,18.35,70.3
2022-01-17,0.0,19.45,61.87
2022-01-18,0.08,19.11,62.56
2022-01-19,0.0,19.33,52.54
2022-01-20,0.0,20.58,49.83
2022-01-21,0.0,20.32,60.25
2022-01-22,0.0,20.48,61.71
2022-01-23,0.0,17.94,60.75
2022-01-24,0.0,14.4,46.7
2022-01-25,0.0,14.49,50.66
2022-01-26,0.0,15.25,48.69
2022-01-27,0.0,15.29,46.88
2022-01-28,0.0,16.03,42.55
2022-01-29,0.0,17.45,41.67
2022-01-30,0.0,19.16,34.91
2022-01-31,0.0,20.4,34.5
2022-02-01,0.0,21.31,36.61
2022-02-02,0.0,22.17,40.89
2022-02-03,0.0,20.15,47.18
2022-02-04,0.0,17.8,36.51
2022-02-05,0.0,19.31,29.5
2022-02-06,0.0,19.0,32.54
2022-02-07,0.0,20.46,35.79
2022-02-08,0.0,21.08,39.92
2022-02-09,0.18,21.27,50.81
2022-02-10,0.0,21.08,38.2
2022-02-11,0.0,20.03,31.82
2022-02-12,0.0,20.01,29.94
2022-02-13,0.0,20.25,33.19
2022-02-14,0.0,21.18,35.46
2022-02-15,0.0,21.78,41.92
2022-02-16,1.58,23.63,44.05
2022-02-17,0.0,23.7,42.27
2022-02-18,0.07,24.1,48.6
2022-02-19,1.15,25.7,48.95
2022-02-20,0.0,24.47,39.34
2022-02-21,0.0,23.8,23.09
2022-02-22,0.0,24.25,23.51
2022-02-23,0.0,24.54,30.83
2022-02-24,0.0,25.91,34.39
2022-02-25,0.0,25.8,25.95
2022-02-26,0.01,26.14,35.45
2022-02-27,0.0,26.54,31.06
2022-02-28,0.02,26.55,28.45
2022-03-01,0.33,27.08,29.63
2022-03-02,0.0,26.6,29.28
2022-03-03,0.04,27.08,30.54
