date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,18.9,79.25
2022-01-02,0.0,19.65,76.6
2022-01-03,0.0,19.27,71.38
2022-01-04,0.0,19.53,70.58
2022-01-05,0.0,20.21,65.39
2022-01-06,0.0,20.97,67.54
2022-01-07,0.0,21.07,69.95
2022-01-08,1.93,21.44,71.87
2022-01-09,0.54,19.9,75.26
2022-01-10,0.02,18.34,73.38
2022-01-11,0.04,18.43,79.19
2022-01-12,0.0,17.1,72.06
2022-01-13,0.36,17.07,72.7
2022-01-14,1.65,18.4,82.12
2022-01-15,0.31,18.35,74.85
2022-01-16,0.0,18.57,72.85
2022-01-17,0.0,19.49,67.76
2022-01-18,0.0,19.83,66.22
2022-01-19,0.0,19.92,53.17
2022-01-20,0.0,20.83,49.66
2022-01-21,0.0,20.88,56.08
2022-01-22,0.0,20.97,61.94
2022-01-23,0.0,17.47,58.42
2022-01-24,0.0,13.18,47.4
2022-01-25,0.0,13.6,51.41
2022-01-26,0.0,14.42,50.95
2022-01-27,0.0,14.54,50.72
2022-01-28,0.0,15.16,47.75
2022-01-29,0.0,17.16,43.83
2022-01-30,0.0,19.12,38.45
2022-01-31,0.0,20.32,35.01
2022-02-01,0.0,20.7,36.93
2022-02-02,0.0,22.36,36.61
2022-02-03,0.0,20.63,42.14
2022-02-04,0.0,18.17,52.49
2022-02-05,0.0,18.57,35.09
2022-02-06,0.0,19.12,35.65
2022-02-07,0.0,20.1,39.52
2022-02-08,0.0,21.27,44.95
2022-02-09,0.0,20.86,50.28
2022-02-10,0.0,19.75,43.82
2022-02-11,0.0,18.8,36.55
2022-02-12,0.0,19.64,31.32
2022-02-13,0.0,20.79,34.51
2022-02-14,0.0,21.9,36.0
2022-02-15,0.0,22.71,42.06
2022-02-16,0.02,23.06,47.33
2022-02-17,0.03,23.76,47.55
2022-02-18,0.0,24.9,47.0
2022-02-19,0.05,25.62,44.94
2022-02-20,0.0,24.19,30.39
2022-02-21,0.0,23.9,20.56
2022-02-22,0.0,25.33,21.25
2022-02-23,0.0,25.91,25.18
2022-02-24,0.0,26.34,26.65
2022-02-25,0.0,26.39,26.15
2022-02-26,0.0,26.65,32.95
2022-02-27,0.0,26.19,25.82
2022-02-28,0.0,25.88,26.2
2022-03-01,0.04,26.09,28.08
2022-03-02,0.0,26.84,26.68
2022-03-03,0.0,27.09,28.67
2022-03-04,0.0,27.81,27.39
2022-03-05,0.01,26.59,29.68
2022-03-06,0.0,27.55,26.25
2022-03-07,0.18,28.1,27.7
2022-03-08,3.56,27.45,27.93
2022-03-09,1.04,26.37,33.08
2022-03-10,0.05,27.04,35.98
2022-03-11,0.34,27.82,30.54
2022-03-12,0.25,26.9,26.22
2022-03-13,0.0,27.07,19.19
2022-03-14,0.0,28.39,18.19
2022-03-15,0.0,30.24,18.69
2022-03-16,0.0,30.87,16.98
2022-03-17,0.0,30.6,17.49
2022-03-18,0.0,30.69,17.04
2022-03-19,0.0,31.02,18.7
2022-03-20,0.0,29.92,17.82
2022-03-21,0.0,30.25,18.89
2022-03-22,0.0,30.99,15.34
2022-03-23,0.0,30.87,17.05
2022-03-24,0.0,31.1,18.97
2022-03-25,0.0,31.54,20.02
2022-03-26,0.0,31.75,19.55
2022-03-27,0.0,31.67,20.25
2022-03-28,0.0,31.79,17.89
2022-03-29,0.0,31.5,16.4
2022-03-30,0.0,31.29,14.06
2022-03-31,0.0,31.3,14.09
2022-04-01,0.0,31.29,13.15
2022-04-02,0.0,31.75,11.77
2022-04-03,0.0,31.87,15.03
2022-04-04,0.0,32.71,13.08
2022-04-05,0.0,32.78,11.66
2022-04-06,0.0,32.99,16.36
2022-04-07,0.0,33.43,17.04
2022-04-08,0.0,34.04,13.09
2022-04-09,0.0,33.15,16.01
2022-04-10,0.0,33.19,18.92
2022-04-11,0.0,33.46,20.82
2022-04-12,0.0,33.46,20.99
2022-04-13,0.0,32.7,19.6
2022-04-14,0.0,33.35,18.61
2022-04-15,0.0,31.42,18.2
2022-04-16,0.0,31.77,19.51
2022-04-17,0.0,32.26,19.19
2022-04-18,0.0,32.92,19.46
2022-04-19,0.0,33.36,14.76
2022-04-20,0.0,33.86,17.98
2022-04-21,0.0,33.78,20.35
2022-04-22,0.0,33.85,22.98
