date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,19.61,75.06
2022-01-02,0.0,19.55,71.54
2022-01-03,0.0,18.96,72.6
2022-01-04,0.0,19.41,71.45
2022-01-05,0.0,20.43,69.86
2022-01-06,0.0,20.84,68.7
2022-01-07,0.0,21.06,68.36
2022-01-08,0.04,21.76,70.5
2022-01-09,2.6,22.15,75.26
2022-01-10,23.27,21.53,83.25
2022-01-11,10.28,19.8,88.87
2022-01-12,4.38,19.36,83.41
2022-01-13,1.2,20.01,80.48
2022-01-14,6.05,19.83,83.31
2022-01-15,0.46,19.62,80.23
2022-01-16,0.0,19.52,75.39
2022-01-17,1.48,19.09,72.79
2022-01-18,146.01,18.56,74.19
2022-01-19,0.0,18.66,66.82
2022-01-20,0.0,19.56,62.5
2022-01-21,0.0,20.61,65.67
2022-01-22,0.0,21.87,60.75
2022-01-23,0.02,20.5,69.72
2022-01-24,0.0,16.91,57.76
2022-01-25,0.0,15.97,60.04
2022-01-26,0.0,16.0,59.93
2022-01-27,0.0,15.38,58.06
2022-01-28,0.0,14.83,57.59
2022-01-29,0.0,16.42,53.15
2022-01-30,0.0,19.05,44.05
2022-01-31,0.0,20.5,39.75
2022-02-01,0.0,20.86,42.45
2022-02-02,0.0,20.99,46.25
2022-02-03,0.0,21.1,56.59
2022-02-04,0.0,19.0,48.78
2022-02-05,0.0,17.94,45.25
2022-02-06,0.0,18.58,48.12
2022-02-07,0.0,19.43,50.44
2022-02-08,0.0,20.71,49.76
2022-02-09,0.1,22.7,64.46
2022-02-10,0.03,22.32,73.09
2022-02-11,0.0,19.62,57.45
2022-02-12,0.0,19.16,46.99
2022-02-13,0.0,19.29,47.01
2022-02-14,0.0,20.31,47.42
2022-02-15,0.0,21.26,53.91
2022-02-16,1.19,23.07,59.3
2022-02-17,0.29,23.64,60.28
2022-02-18,0.02,23.63,60.52
2022-02-19,0.0,25.1,55.72
2022-02-20,0.0,25.86,48.28
2022-02-21,0.0,23.93,32.89
2022-02-22,0.0,24.58,29.4
2022-02-23,0.0,25.22,41.3
2022-02-24,0.0,26.64,48.2
2022-02-25,0.0,26.69,44.33
2022-02-26,0.0,26.78,43.03
2022-02-27,0.0,26.59,41.02
2022-02-28,0.0,26.69,33.57
2022-03-01,0.0,26.61,29.06
2022-03-02,0.0,27.16,34.6
2022-03-03,0.0,27.23,37.06
2022-03-04,0.02,28.55,35.77
2022-03-05,0.03,28.9,33.9
2022-03-06,0.0,28.41,30.53
2022-03-07,0.0,27.45,31.76
2022-03-08,0.0,27.58,27.12
2022-03-09,0.0,27.95,26.37
2022-03-10,0.0,29.13,28.06
2022-03-11,0.0,29.77,26.47
2022-03-12,0.0,28.91,29.79
2022-03-13,0.0,29.24,25.99
2022-03-14,0.0,30.04,18.16
2022-03-15,0.0,31.12,18.25
2022-03-16,0.0,32.65,18.97
2022-03-17,0.0,32.91,17.61
2022-03-18,0.0,32.0,20.67
2022-03-19,0.0,31.53,28.96
2022-03-20,0.0,31.92,28.21
2022-03-21,0.0,32.73,20.09
2022-03-22,0.0,33.19,19.08
2022-03-23,0.0,32.23,15.36
2022-03-24,0.0,32.16,23.27
2022-03-25,0.0,33.27,28.27
2022-03-26,0.0,34.16,21.27
2022-03-27,0.0,33.5,17.27
2022-03-28,0.0,33.68,13.57
2022-03-29,0.0,33.61,12.91
2022-03-30,0.0,33.94,12.02
2022-03-31,0.0,34.12,10.26
2022-04-01,0.0,33.87,11.45
2022-04-02,0.0,33.96,19.47
2022-04-03,0.0,34.28,23.2
2022-04-04,0.0,34.45,19.74
2022-04-05,0.0,34.18,25.01
2022-04-06,0.0,34.8,21.33
2022-04-07,0.02,34.66,22.14
2022-04-08,0.0,34.78,27.12
2022-04-09,0.0,35.77,28.9
2022-04-10,0.0,36.21,28.14
2022-04-11,0.0,35.96,22.74
2022-04-12,0.0,35.68,24.57
2022-04-13,0.0,35.34,25.26
2022-04-14,0.0,35.59,23.4
2022-04-15,0.0,35.63,21.56
