date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,19.58,75.74
2022-01-02,0.0,19.12,72.45
2022-01-03,0.0,18.63,73.04
2022-01-04,0.0,19.23,71.8
2022-01-05,0.0,19.97,69.97
2022-01-06,0.0,20.46,67.95
2022-01-07,0.0,20.98,66.21
2022-01-08,0.0,21.44,69.94
2022-01-09,0.97,21.01,75.0
2022-01-10,21.06,21.45,82.8
2022-01-11,9.74,19.58,90.31
2022-01-12,7.84,19.28,85.3
2022-01-13,0.26,19.94,80.49
2022-01-14,7.61,19.42,85.05
2022-01-15,0.41,19.44,81.3
2022-01-16,0.0,19.28,76.88
2022-01-17,3.84,18.46,75.15
2022-01-18,113.34,18.13,75.35
2022-01-19,0.0,18.13,70.07
2022-01-20,0.0,19.01,64.76
2022-01-21,0.0,20.22,66.77
2022-01-22,0.01,21.26,64.79
2022-01-23,0.17,20.72,72.2
2022-01-24,0.0,16.99,62.94
2022-01-25,0.0,15.77,62.76
2022-01-26,0.0,15.82,62.88
2022-01-27,0.0,15.06,60.76
2022-01-28,0.0,14.46,60.47
2022-01-29,0.0,15.65,57.03
2022-01-30,0.0,18.48,46.45
2022-01-31,0.0,20.17,40.88
2022-02-01,0.0,20.87,41.89
2022-02-02,0.0,21.15,44.54
2022-02-03,0.0,20.65,62.2
2022-02-04,0.0,19.58,53.83
2022-02-05,0.0,17.93,45.21
2022-02-06,0.0,18.46,48.1
2022-02-07,0.0,19.39,48.54
2022-02-08,0.0,20.6,48.37
2022-02-09,0.34,22.22,62.32
2022-02-10,0.33,21.86,75.8
2022-02-11,0.0,19.6,61.9
2022-02-12,0.0,19.03,48.34
2022-02-13,0.0,19.09,46.03
2022-02-14,0.0,20.28,46.19
2022-02-15,0.0,21.14,50.75
2022-02-16,0.63,22.39,58.51
2022-02-17,0.19,23.26,60.08
2022-02-18,0.01,23.23,60.91
2022-02-19,0.0,24.6,55.64
2022-02-20,0.0,25.62,50.04
2022-02-21,0.0,23.79,35.12
2022-02-22,0.0,24.1,30.9
2022-02-23,0.0,25.2,42.68
2022-02-24,0.0,26.23,50.77
2022-02-25,0.0,25.84,49.16
2022-02-26,0.0,26.93,45.06
2022-02-27,0.0,26.69,41.36
2022-02-28,0.0,26.42,33.83
2022-03-01,0.0,25.79,34.71
2022-03-02,0.0,26.81,37.75
2022-03-03,0.0,27.14,38.35
2022-03-04,0.01,27.87,36.94
2022-03-05,0.02,28.25,36.7
2022-03-06,0.0,27.91,33.54
2022-03-07,0.0,26.96,33.48
2022-03-08,0.0,27.01,28.53
2022-03-09,0.0,27.42,28.33
2022-03-10,0.0,28.45,30.64
2022-03-11,0.0,28.8,30.34
2022-03-12,0.0,28.01,34.4
2022-03-13,0.0,28.39,30.27
2022-03-14,0.0,29.08,21.79
2022-03-15,0.0,30.03,21.56
2022-03-16,0.0,31.9,21.67
2022-03-17,0.0,32.85,19.49
2022-03-18,0.0,31.21,26.37
2022-03-19,0.0,30.77,33.55
2022-03-20,0.0,31.44,30.87
2022-03-21,0.0,32.17,24.55
2022-03-22,0.0,32.64,22.36
2022-03-23,0.0,31.73,17.75
2022-03-24,0.0,31.9,26.4
2022-03-25,0.0,32.48,31.57
2022-03-26,0.0,33.56,26.25
2022-03-27,0.0,33.17,20.22
2022-03-28,0.0,33.18,14.74
2022-03-29,0.0,33.63,13.44
2022-03-30,0.0,33.78,12.61
2022-03-31,0.0,33.67,12.13
2022-04-01,0.0,32.94,17.3
2022-04-02,0.0,33.07,28.52
2022-04-03,0.0,33.73,25.27
2022-04-04,0.0,33.68,22.8
2022-04-05,0.02,33.51,29.25
2022-04-06,0.19,34.02,24.2
2022-04-07,0.27,33.56,27.89
2022-04-08,0.0,33.77,30.67
2022-04-09,0.0,34.44,32.51
2022-04-10,0.0,34.81,32.11
