date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,18.49,73.57
2022-01-02,0.0,18.53,73.08
2022-01-03,0.0,18.5,71.44
2022-01-04,0.0,18.87,70.47
2022-01-05,0.0,19.48,69.19
2022-01-06,0.0,19.83,70.57
2022-01-07,0.0,19.93,68.84
2022-01-08,1.11,20.47,74.48
2022-01-09,6.78,21.09,79.79
2022-01-10,5.23,20.18,81.51
2022-01-11,14.91,19.17,85.36
2022-01-12,2.03,18.88,79.02
2022-01-13,0.12,18.45,77.6
2022-01-14,2.38,19.12,81.91
2022-01-15,0.34,18.82,78.58
2022-01-16,0.0,18.02,72.71
2022-01-17,0.0,18.3,67.27
2022-01-18,32.47,17.99,69.23
2022-01-19,0.0,17.7,60.14
2022-01-20,0.0,18.9,60.4
2022-01-21,0.0,19.39,65.53
2022-01-22,0.02,19.91,61.86
2022-01-23,0.11,19.72,64.59
2022-01-24,0.0,16.19,49.75
2022-01-25,0.0,15.53,53.32
2022-01-26,0.0,15.27,55.2
2022-01-27,0.0,14.99,53.31
2022-01-28,0.0,14.8,50.86
2022-01-29,0.0,16.4,46.98
2022-01-30,0.0,17.71,44.48
2022-01-31,0.0,19.12,43.55
2022-02-01,0.0,20.38,43.97
2022-02-02,0.0,20.6,49.05
2022-02-03,0.01,19.57,57.34
2022-02-04,0.0,18.03,46.86
2022-02-05,0.0,17.33,43.97
2022-02-06,0.0,18.27,45.25
2022-02-07,0.0,19.38,45.65
2022-02-08,0.0,20.15,46.45
2022-02-09,1.42,21.78,60.79
2022-02-10,0.11,20.48,67.07
2022-02-11,0.0,18.43,50.02
2022-02-12,0.0,18.49,42.65
2022-02-13,0.0,18.78,47.3
2022-02-14,0.0,19.65,48.06
2022-02-15,0.0,20.45,51.3
2022-02-16,4.71,21.6,56.51
2022-02-17,0.3,21.76,58.21
2022-02-18,0.29,22.24,64.74
2022-02-19,0.21,23.25,61.83
2022-02-20,0.0,24.13,50.53
2022-02-21,0.0,23.37,31.88
2022-02-22,0.0,22.67,34.48
2022-02-23,0.0,23.54,44.53
2022-02-24,0.03,25.52,48.18
2022-02-25,0.01,25.45,34.98
2022-02-26,0.0,25.27,44.57
2022-02-27,0.0,25.89,44.4
2022-02-28,0.0,26.37,37.26
2022-03-01,0.21,26.95,32.98
2022-03-02,0.01,26.45,38.01
2022-03-03,0.05,26.4,40.67
2022-03-04,0.43,27.24,38.86
2022-03-05,0.17,27.86,35.53
2022-03-06,0.0,26.74,30.74
2022-03-07,0.0,26.42,33.1
2022-03-08,0.0,27.1,28.59
2022-03-09,0.0,27.65,27.38
2022-03-10,0.0,28.56,27.91
2022-03-11,0.0,28.86,26.62
2022-03-12,0.0,28.47,25.17
2022-03-13,0.0,28.43,19.5
2022-03-14,0.0,29.4,17.85
2022-03-15,0.0,30.79,20.34
2022-03-16,0.0,31.41,21.07
2022-03-17,0.0,31.66,18.72
2022-03-18,0.0,31.45,21.96
2022-03-19,0.0,30.99,26.51
2022-03-20,0.0,32.22,24.81
2022-03-21,0.0,32.68,17.02
2022-03-22,0.0,31.93,15.79
2022-03-23,0.0,31.32,15.16
2022-03-24,0.0,31.55,20.85
2022-03-25,0.0,32.91,22.96
2022-03-26,0.0,33.52,19.21
2022-03-27,0.0,32.72,13.87
2022-03-28,0.0,33.08,11.53
2022-03-29,0.0,33.01,12.72
2022-03-30,0.0,33.54,11.86
2022-03-31,0.0,33.79,11.11
2022-04-01,0.0,33.75,10.41
2022-04-02,0.0,33.49,12.8
2022-04-03,0.0,34.18,13.58
2022-04-04,0.0,34.39,15.85
2022-04-05,0.0,33.54,15.94
2022-04-06,0.0,33.7,18.47
2022-04-07,0.0,33.88,19.42
2022-04-08,0.0,34.5,24.2
2022-04-09,0.0,35.3,26.77
2022-04-10,0.0,35.86,24.13
2022-04-11,0.0,35.54,19.63
2022-04-12,0.0,35.62,21.52
2022-04-13,0.0,35.8,22.69
2022-04-14,0.0,34.94,19.18
2022-04-15,0.0,34.45,16.65
2022-04-16,0.0,34.39,13.01
2022-04-17,0.0,34.6,14.2
2022-04-18,0.0,35.55,14.45
2022-04-19,0.0,36.58,14.14
2022-04-20,0.0,36.9,14.17
2022-04-21,0.0,36.66,15.52
2022-04-22,0.23,35.39,26.83
2022-04-23,0.0,34.64,32.79
2022-04-24,0.02,35.71,27.53
