date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,20.66,73.16
2022-01-02,0.0,21.04,69.16
2022-01-03,0.0,20.04,65.07
2022-01-04,0.0,20.09,63.6
2022-01-05,0.0,20.81,63.82
2022-01-06,0.0,21.19,64.06
2022-01-07,0.0,21.96,63.73
2022-01-08,0.48,22.08,72.87
2022-01-09,7.37,22.18,75.96
2022-01-10,4.48,21.44,79.72
2022-01-11,2.78,22.04,78.75
2022-01-12,0.31,20.46,78.66
2022-01-13,7.02,20.27,80.0
2022-01-14,1.34,21.03,76.21
2022-01-15,0.09,20.45,75.54
2022-01-16,0.03,20.47,72.21
2022-01-17,3.29,20.37,70.19
2022-01-18,0.01,20.53,68.26
2022-01-19,0.0,20.05,65.24
2022-01-20,0.0,20.84,57.78
2022-01-21,0.0,21.01,60.51
2022-01-22,0.0,21.98,57.65
2022-01-23,0.0,20.11,65.87
2022-01-24,0.0,16.7,51.57
2022-01-25,0.0,16.29,50.16
2022-01-26,0.0,16.72,50.66
2022-01-27,0.0,16.93,49.93
2022-01-28,0.0,16.53,46.52
2022-01-29,0.0,17.32,43.16
2022-01-30,0.0,19.69,37.69
2022-01-31,0.0,21.59,34.07
2022-02-01,0.0,21.77,35.03
2022-02-02,0.0,22.22,37.95
2022-02-03,0.0,22.51,40.42
2022-02-04,0.0,20.05,41.65
2022-02-05,0.0,20.09,32.01
2022-02-06,0.0,20.69,31.72
2022-02-07,0.0,21.76,41.54
2022-02-08,0.0,23.9,42.33
2022-02-09,0.0,25.4,51.27
2022-02-10,0.0,22.85,47.63
2022-02-11,0.0,21.59,49.0
2022-02-12,0.0,21.53,32.83
2022-02-13,0.0,22.03,29.47
2022-02-14,0.0,22.76,34.32
2022-02-15,0.0,24.62,43.58
2022-02-16,0.26,25.44,49.45
2022-02-17,0.02,25.47,51.66
2022-02-18,0.0,25.86,46.39
2022-02-19,0.0,27.81,41.01
2022-02-20,0.0,26.55,33.86
2022-02-21,0.0,24.6,25.37
2022-02-22,0.0,25.69,21.43
2022-02-23,0.0,26.14,30.63
2022-02-24,0.0,27.92,41.42
2022-02-25,0.0,27.94,35.35
2022-02-26,0.0,27.46,31.85
2022-02-27,0.0,27.15,33.12
2022-02-28,0.0,27.27,27.69
2022-03-01,0.0,26.76,26.67
2022-03-02,0.0,27.44,25.92
2022-03-03,0.0,27.75,26.71
2022-03-04,0.0,28.34,32.41
2022-03-05,0.0,28.89,30.4
2022-03-06,0.0,28.57,28.87
2022-03-07,0.0,27.96,29.77
2022-03-08,0.0,27.84,28.23
2022-03-09,0.0,28.28,24.07
2022-03-10,0.0,28.45,27.82
2022-03-11,0.1,29.24,29.02
2022-03-12,0.0,28.9,27.38
2022-03-13,0.0,28.9,25.2
2022-03-14,0.0,29.41,15.27
2022-03-15,0.0,30.14,16.43
2022-03-16,0.0,31.56,16.88
2022-03-17,0.0,31.48,15.94
2022-03-18,0.0,31.73,16.36
2022-03-19,0.0,31.97,20.84
2022-03-20,0.0,32.1,19.25
2022-03-21,0.0,31.73,18.24
2022-03-22,0.0,31.86,17.4
2022-03-23,0.0,32.12,16.42
2022-03-24,0.0,32.67,16.92
2022-03-25,0.0,33.18,21.68
2022-03-26,0.0,33.35,21.31
2022-03-27,0.0,33.19,18.32
2022-03-28,0.0,33.18,14.91
2022-03-29,0.0,33.21,13.4
2022-03-30,0.0,32.74,12.56
2022-03-31,0.0,33.16,11.0
2022-04-01,0.0,33.58,10.47
2022-04-02,0.0,33.24,13.51
2022-04-03,0.0,33.59,19.37
2022-04-04,0.0,33.72,16.2
2022-04-05,0.0,33.55,24.24
2022-04-06,0.0,33.83,19.52
2022-04-07,0.0,33.81,20.55
2022-04-08,0.0,34.34,24.6
2022-04-09,0.01,34.83,27.78
2022-04-10,0.0,35.5,24.94
2022-04-11,0.0,35.21,24.12
2022-04-12,0.0,35.64,24.48
