date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,18.66,77.23
2022-01-02,0.0,18.83,74.61
2022-01-03,0.0,18.57,73.31
2022-01-04,0.0,18.85,72.34
2022-01-05,0.0,19.64,70.6
2022-01-06,0.0,20.23,72.59
2022-01-07,0.0,20.3,70.62
2022-01-08,3.06,20.4,76.43
2022-01-09,5.08,21.4,79.77
2022-01-10,7.33,19.83,84.76
2022-01-11,10.1,19.33,87.35
2022-01-12,0.89,19.03,81.34
2022-01-13,0.79,18.9,78.93
2022-01-14,2.36,19.54,82.78
2022-01-15,0.28,19.23,79.77
2022-01-16,0.0,18.61,75.07
2022-01-17,0.02,18.89,68.91
2022-01-18,55.15,18.28,72.29
2022-01-19,0.0,18.39,62.1
2022-01-20,0.0,19.58,59.05
2022-01-21,0.0,19.81,66.37
2022-01-22,0.0,20.4,64.17
2022-01-23,0.0,19.68,64.84
2022-01-24,0.0,16.19,51.72
2022-01-25,0.0,15.61,54.24
2022-01-26,0.0,15.56,55.73
2022-01-27,0.0,15.28,54.93
2022-01-28,0.0,14.83,53.66
2022-01-29,0.0,16.58,49.04
2022-01-30,0.0,19.06,39.71
2022-01-31,0.0,20.34,37.8
2022-02-01,0.0,20.85,40.47
2022-02-02,0.0,20.88,47.64
2022-02-03,0.0,20.24,54.89
2022-02-04,0.0,18.07,46.11
2022-02-05,0.0,17.58,43.82
2022-02-06,0.0,18.23,46.48
2022-02-07,0.0,19.35,48.02
2022-02-08,0.0,20.34,48.8
2022-02-09,0.09,22.42,60.88
2022-02-10,0.0,20.89,65.43
2022-02-11,0.0,19.18,50.59
2022-02-12,0.0,18.66,45.16
2022-02-13,0.0,18.82,48.37
2022-02-14,0.0,19.71,49.35
2022-02-15,0.0,20.73,53.48
2022-02-16,2.14,22.35,58.25
2022-02-17,0.24,22.61,60.65
2022-02-18,0.07,23.16,62.5
2022-02-19,0.19,24.71,57.71
2022-02-20,0.0,25.02,48.0
2022-02-21,0.0,24.09,29.8
2022-02-22,0.0,23.74,31.55
2022-02-23,0.0,24.09,40.96
2022-02-24,0.0,26.64,46.66
2022-02-25,0.0,26.07,39.27
2022-02-26,0.0,26.03,43.23
2022-02-27,0.0,26.53,39.42
2022-02-28,0.01,26.81,35.35
2022-03-01,0.15,26.77,30.68
2022-03-02,0.0,26.36,35.67
2022-03-03,0.0,26.59,38.69
2022-03-04,0.14,27.84,37.94
2022-03-05,0.07,28.31,36.0
2022-03-06,0.0,27.37,32.39
2022-03-07,0.0,26.87,32.01
2022-03-08,0.0,27.21,28.65
2022-03-09,0.0,27.67,27.36
2022-03-10,0.0,28.79,28.23
2022-03-11,0.0,29.43,26.9
2022-03-12,0.0,28.79,26.41
2022-03-13,0.0,28.85,20.0
2022-03-14,0.0,29.85,16.82
2022-03-15,0.0,30.99,19.72
2022-03-16,0.0,31.97,19.26
2022-03-17,0.0,31.91,18.36
2022-03-18,0.0,32.13,20.28
2022-03-19,0.0,32.03,21.79
2022-03-20,0.0,32.59,22.51
2022-03-21,0.0,32.59,16.61
2022-03-22,0.0,32.26,16.15
2022-03-23,0.0,32.0,15.06
2022-03-24,0.0,32.49,18.43
2022-03-25,0.0,33.51,21.07
2022-03-26,0.0,33.73,18.76
2022-03-27,0.0,33.34,15.32
2022-03-28,0.0,34.02,12.31
2022-03-29,0.0,33.06,12.65
2022-03-30,0.0,33.36,11.53
2022-03-31,0.0,33.6,9.34
2022-04-01,0.0,33.66,10.05
2022-04-02,0.0,33.54,12.01
2022-04-03,0.0,34.69,13.64
2022-04-04,0.0,34.76,13.27
2022-04-05,0.0,33.8,13.5
2022-04-06,0.0,34.14,17.01
2022-04-07,0.0,34.36,18.33
2022-04-08,0.0,34.93,23.28
2022-04-09,0.0,35.92,26.14
2022-04-10,0.0,36.26,22.55
2022-04-11,0.0,35.48,18.68
2022-04-12,0.0,36.07,19.79
2022-04-13,0.0,36.1,21.39
2022-04-14,0.0,35.14,18.07
2022-04-15,0.0,34.6,17.22
2022-04-16,0.0,34.58,14.13
2022-04-17,0.0,34.83,15.32
2022-04-18,0.0,35.59,14.45
2022-04-19,0.0,36.45,13.99
2022-04-20,0.0,37.19,13.71
2022-04-21,0.0,36.94,14.22
2022-04-22,0.01,35.78,27.81
2022-04-23,0.31,34.25,36.07
2022-04-24,0.21,35.32,30.07
2022-04-25,0.0,36.92,18.91
2022-04-26,0.0,36.33,12.39
2022-04-27,0.0,37.37,12.89
2022-04-28,0.0,37.85,12.53
2022-04-29,0.0,37.61,11.86
2022-04-30,0.0,37.58,14.11
2022-05-01,0.0,37.33,15.86
2022-05-02,0.01,37.33,19.75
2022-05-03,0.02,38.42,19.02
2022-05-04,0.05,36.93,24.76
2022-05-05,0.0,37.23,19.0
2022-05-06,0.0,37.14,14.65
2022-05-07,0.0,36.27,19.08
2022-05-08,0.0,37.48,18.08
2022-05-09,0.0,36.29,18.3
2022-05-10,0.0,36.27,24.39
2022-05-11,0.0,36.78,31.98
2022-05-12,0.77,37.09,34.6
2022-05-13,1.6,37.73,31.01
2022-05-14,0.0,38.62,24.7
2022-05-15,0.01,39.03,23.1
2022-05-16,0.39,37.97,30.65
2022-05-17,0.0,36.5,32.31
2022-05-18,0.04,37.27,28.22
2022-05-19,0.12,36.23,35.23
2022-05-20,0.0,36.99,35.99
2022-05-21,0.01,36.53,28.81
2022-05-22,0.0,35.36,29.57
2022-05-23,0.0,35.52,33.15
2022-05-24,1.9,35.92,29.91
2022-05-25,3.7,35.96,33.28
2022-05-26,1.49,36.65,32.91
2022-05-27,0.38,35.17,32.35
2022-05-28,0.0,35.44,32.97
2022-05-29,0.0,35.79,32.41
2022-05-30,0.0,37.0,30.08
2022-05-31,1.1,37.33,28.49
2022-06-01,0.41,38.11,22.63
2022-06-02,0.27,37.38,21.22
2022-06-03,0.0,38.08,19.5
2022-06-04,0.08,38.62,20.53
2022-06-05,0.23,38.67,20.64
2022-06-06,0.0,38.29,20.52
2022-06-07,0.0,38.37,20.08
2022-06-08,0.0,37.81,24.62
2022-06-09,0.94,36.9,32.29
2022-06-10,0.77,35.66,37.28
2022-06-11,3.36,34.4,45.32
2022-06-12,5.44,31.72,58.59
2022-06-13,2.45,30.92,61.86
2022-06-14,5.36,31.65,60.58
2022-06-15,4.38,30.67,66.43
2022-06-16,15.58,29.94,73.27
2022-06-17,2.82,29.05,74.25
2022-06-18,15.09,27.91,79.23
2022-06-19,7.4,29.76,72.76
2022-06-20,12.06,28.3,79.31
2022-06-21,9.56,29.66,72.07
2022-06-22,7.98,29.46,72.16
