date,rainfall_mm,temperature_c,humidity_pct
2022-01-01,0.0,18.54,80.73
2022-01-02,0.0,19.4,76.8
2022-01-03,0.0,18.65,71.49
2022-01-04,0.0,18.95,71.32
2022-01-05,0.0,19.64,66.99
2022-01-06,0.0,20.11,69.86
2022-01-07,0.0,20.39,71.1
2022-01-08,3.33,20.44,76.9
2022-01-09,2.25,20.2,78.22
2022-01-10,0.54,18.83,80.24
2022-01-11,1.14,19.48,83.32
2022-01-12,0.01,18.44,77.24
2022-01-13,1.81,17.57,80.18
2022-01-14,1.82,18.64,83.28
2022-01-15,0.38,18.7,79.42
2022-01-16,0.0,18.7,75.45
2022-01-17,0.0,19.27,69.94
2022-01-18,0.0,19.63,69.07
2022-01-19,0.0,19.62,57.03
2022-01-20,0.0,21.0,49.65
2022-01-21,0.0,20.17,59.56
2022-01-22,0.0,20.75,59.32
2022-01-23,0.0,18.2,63.24
2022-01-24,0.0,14.16,47.52
2022-01-25,0.0,14.11,50.59
2022-01-26,0.0,14.66,52.51
2022-01-27,0.0,14.7,53.57
2022-01-28,0.0,14.87,51.54
2022-01-29,0.0,16.69,46.56
2022-01-30,0.0,19.35,37.88
2022-01-31,0.0,20.76,34.78
2022-02-01,0.0,20.91,37.1
2022-02-02,0.0,22.1,36.84
2022-02-03,0.0,20.34,45.27
2022-02-04,0.0,17.94,54.19
2022-02-05,0.0,18.29,38.72
2022-02-06,0.0,18.95,39.89
2022-02-07,0.0,19.73,44.28
2022-02-08,0.0,20.9,49.57
2022-02-09,0.0,21.52,53.48
2022-02-10,0.0,20.13,48.43
2022-02-11,0.0,19.16,42.72
2022-02-12,0.0,19.65,38.55
2022-02-13,0.0,20.34,37.57
2022-02-14,0.0,21.29,38.24
2022-02-15,0.0,22.59,44.47
2022-02-16,0.14,23.54,52.79
2022-02-17,0.01,23.73,53.83
2022-02-18,0.0,24.64,50.13
2022-02-19,0.02,25.96,47.4
2022-02-20,0.0,24.46,33.72
2022-02-21,0.0,23.59,23.89
2022-02-22,0.0,25.16,23.1
2022-02-23,0.0,24.93,30.11
2022-02-24,0.0,26.21,38.65
2022-02-25,0.0,26.62,34.61
2022-02-26,0.0,26.5,36.27
2022-02-27,0.0,26.71,31.03
2022-02-28,0.01,26.32,30.76
2022-03-01,0.1,26.35,28.03
2022-03-02,0.0,26.21,29.62
2022-03-03,0.0,26.59,30.62
2022-03-04,0.01,27.29,32.48
2022-03-05,0.0,27.98,32.29
2022-03-06,0.0,27.32,30.48
